genres,name,themes,total_rating,company,updated_at,Adventure,Arcade,Card & Board Game,Fighting,Hack and slash/Beat 'em up,MOBA,Music,Pinball,Platform,Point-and-click,Puzzle,Quiz/Trivia,Racing,Real Time Strategy (RTS),Role-playing (RPG),Shooter,Simulator,Sport,Strategy,Tactical,Turn-based strategy (TBS),Visual Novel,"4X (explore, expand, exploit, and exterminate)",Action,Comedy,Drama,Educational,Fantasy,Historical,Horror,Kids,Mystery,Non-fiction,Open world,Party,Romance,Sandbox,Science fiction,Stealth,Survival,Thriller,Warfare
['Fighting'],Ultimate Mortal Kombat 3,"['Action', 'Fantasy', 'Horror']",69.9308615149077,Electronic Arts,2025-12-03 20:35:34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
['Simulator'],LHX: Attack Chopper,"['Action', 'Warfare']",76.52637405440868,Electronic Arts,2025-12-03 20:35:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
['Adventure'],Harry Potter and the Order of the Phoenix,"['Action', 'Fantasy', 'Open world']",62.22468074173076,Electronic Arts,2025-12-03 20:35:34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['Fighting', 'Racing']",Road Rash,['Action'],68.58836050002495,Electronic Arts,2025-12-03 20:35:34,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Fighting', 'Sport']",WCW Backstage Assault,['Action'],47.10004221190376,Electronic Arts,2025-12-03 20:35:34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Fighting', 'Sport']",WCW Mayhem,['Action'],58.93866738102808,Electronic Arts,2025-12-03 20:35:34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['Adventure'],Harry Potter and the Goblet of Fire,"['Action', 'Fantasy']",58.88075995049021,Electronic Arts,2025-12-03 20:35:34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['Shooter'],Jungle Strike,"['Action', 'Historical', 'Warfare']",68.46132454799175,Electronic Arts,2025-12-03 20:35:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"[""Hack and slash/Beat 'em up""]",Sword of Sodan,"['Action', 'Fantasy']",40.29748087867635,Electronic Arts,2025-12-03 20:35:34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['Fighting', 'Simulator', 'Sport']",Budokan: The Martial Spirit,['Non-fiction'],50.77447018622372,Electronic Arts,2025-12-03 20:35:34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
