id,genres,name,themes,total_rating,company,updated_at
1621,[4],Ultimate Mortal Kombat 3,"[1, 17, 19]",69.93153561052065,Electronic Arts,2025-08-22 00:29:42
2166,[13],LHX: Attack Chopper,"[1, 39]",76.52637405440868,Electronic Arts,2025-08-22 00:29:42
3011,[31],Harry Potter and the Order of the Phoenix,"[1, 17, 38]",62.22374051926831,Electronic Arts,2025-08-22 00:29:42
3249,"[4, 10]",Road Rash,[1],68.58836050002495,Electronic Arts,2025-08-22 00:29:42
3431,[14],Cyber Tiger,[1],,Electronic Arts,2025-08-22 00:29:42
3632,"[4, 14]",WCW Backstage Assault,[1],47.10004221190376,Electronic Arts,2025-08-22 00:29:42
3633,"[4, 14]",WCW Mayhem,[1],58.93866738102808,Electronic Arts,2025-08-22 00:29:42
3942,[31],Harry Potter and the Goblet of Fire,"[1, 17]",58.88393488365681,Electronic Arts,2025-08-22 00:29:42
4368,[5],Jungle Strike,"[1, 22, 39]",68.45386160285238,Electronic Arts,2025-08-22 00:29:42
4394,[25],Sword of Sodan,"[1, 17]",40.29748087867635,Electronic Arts,2025-08-22 00:29:42
4409,"[4, 13, 14]",Budokan: The Martial Spirit,[32],50.77447018622372,Electronic Arts,2025-08-22 00:29:42
4429,"[4, 10]",Road Rash II,[1],77.12676155101616,Electronic Arts,2025-08-22 00:29:42
4542,"[13, 14]",Madden NFL 96,,48.98518196629534,Electronic Arts,2025-08-22 00:29:42
4587,"[13, 14]",John Madden Football,[32],,Electronic Arts,2025-08-22 00:29:42
4588,"[13, 14]",John Madden Football '92,[32],,Electronic Arts,2025-08-22 00:29:42
4904,[5],Harry Potter and the Deathly Hallows: Part 1,"[1, 17, 23]",44.12881231824802,Electronic Arts,2025-08-22 00:29:42
4905,[5],Harry Potter and the Deathly Hallows: Part 2,"[1, 17]",38.20092830473904,Electronic Arts,2025-08-22 00:29:42
5053,"[10, 14]",NASCAR Kart Racing,,,Electronic Arts,2025-08-22 00:29:42
5155,[13],SimAnimals,,63.64678899082569,Electronic Arts,2025-08-22 00:29:42
5338,[13],688 Attack Sub,[39],62.98245614035088,Electronic Arts,2025-08-22 00:29:42
5363,"[14, 15]",Bill Walsh College Football,[1],,Electronic Arts,2025-08-22 00:29:42
5396,[14],Joe Montana Football,,68.39914906605233,Electronic Arts,2025-08-22 00:29:42
5530,"[12, 13, 15]",The Sims: Vacation,"[17, 27, 33, 44]",71.78496823986984,Electronic Arts,2025-08-22 00:29:42
6211,"[13, 14, 15]",Total Club Manager 2003,,,Electronic Arts,2025-08-22 00:29:42
6798,"[5, 15]",Desert Strike: Return to the Gulf,"[1, 39]",78.72503920602026,Electronic Arts,2025-08-22 00:29:42
8100,[13],Haunting Starring Polterguy,"[1, 19, 27]",89.69946085116226,Electronic Arts,2025-08-22 00:29:42
8813,[14],Tiger Woods PGA Tour 2002,,84.33333333333333,Electronic Arts,2025-08-22 00:29:42
11675,[14],Ski or Die,"[1, 27]",64.05209902249699,Electronic Arts,2025-08-22 00:29:42
12267,"[10, 14, 33]",Skate or Die,[1],67.03142839038608,Electronic Arts,2025-08-22 00:29:42
12714,[14],PGA Tour Golf,,74.93046444647901,Electronic Arts,2025-08-22 00:29:42
12770,"[5, 11, 15, 24]",Space Hulk,"[1, 18, 39]",60.94050768334096,Electronic Arts,2025-08-22 00:29:42
13838,[12],Deathlord,[17],,Electronic Arts,2025-08-22 00:29:42
14559,[13],The Sims 3: Riverview,[33],59.89467366461358,Electronic Arts,2025-08-22 00:29:42
15350,[14],Projectyle,[1],,Electronic Arts,2025-08-22 00:29:42
18705,[5],Shockwave Assault,"[1, 18]",40.0,Electronic Arts,2025-08-22 00:29:42
19418,"[5, 13, 15, 31]",Soviet Strike,"[1, 39]",69.91981029132725,Electronic Arts,2025-08-22 00:29:42
19772,[14],Championship Hockey,,,Electronic Arts,2025-08-22 00:29:42
20675,[14],FIFA Manager 06,,75.11485330557129,Electronic Arts,2025-08-22 00:29:42
21722,[14],FIFA Soccer,,76.75,Electronic Arts,2025-08-22 00:29:42
22265,[14],FIFA 12: UEFA Euro 2012,,60.0,Electronic Arts,2025-08-22 00:29:42
22973,[14],FIFA 10: Ultimate Team,,,Electronic Arts,2025-08-22 00:29:42
26013,"[13, 14]",NBA Live 98,,59.86147397962028,Electronic Arts,2025-08-22 00:29:42
27075,"[10, 14]",Skitchin',[1],,Electronic Arts,2025-08-22 00:29:42
41890,[5],Battlefield: Bad Company 2 - Limited Edition,"[1, 39]",,Electronic Arts,2025-08-22 00:29:42
41892,[5],Battlefield: Bad Company 2 Ultimate Edition,[1],,Electronic Arts,2025-08-22 00:29:42
42490,"[8, 14]",Michael Jordan: Chaos in the Windy City,"[1, 19]",54.79780452827227,Electronic Arts,2025-08-22 00:29:42
42898,[14],FIFA 15: Ultimate Team Edition,[32],,Electronic Arts,2025-08-22 00:29:42
43280,[10],Rumble Racing,,,Electronic Arts,2025-08-22 00:29:42
43335,[14],FIFA Soccer 2003,,53.12632907608808,Electronic Arts,2025-08-22 00:29:42
43710,[14],NCAA March Madness '98,,,Electronic Arts,2025-08-22 00:29:42
44009,[14],FIFA 14: Legacy Edition,[32],,Electronic Arts,2025-08-22 00:29:42
45573,[14],NBA Showdown,[32],,Electronic Arts,2025-08-22 00:29:42
45686,"[5, 33]",Zombie High,[1],,Electronic Arts,2025-08-22 00:29:42
46067,[14],Bulls vs Lakers and the NBA Playoffs,,,Electronic Arts,2025-08-22 00:29:42
46200,[8],Rolo to the Rescue,[1],,Electronic Arts,2025-08-22 00:29:42
46226,[14],Coach K College Basketball,,,Electronic Arts,2025-08-22 00:29:42
47908,"[13, 31]",Littlest Pet Shop: Winter,[35],80.0,Electronic Arts,2025-08-22 00:29:42
48019,[31],Littlest Pet Shop: Jungle,[35],,Electronic Arts,2025-08-22 00:29:42
48020,[31],Littlest Pet Shop: Garden,[35],,Electronic Arts,2025-08-22 00:29:42
48021,[13],Littlest Pet Shop: Country Friends,[35],,Electronic Arts,2025-08-22 00:29:42
48022,[13],Littlest Pet Shop: City Friends,[35],,Electronic Arts,2025-08-22 00:29:42
48181,[14],Skate or Die 2: The Search for Double Trouble,[1],,Electronic Arts,2025-08-22 00:29:42
50809,[14],Rugby World Cup 95,,,Electronic Arts,2025-08-22 00:29:42
51953,"[5, 31]",ReBoot,"[1, 18]",,Electronic Arts,2025-08-22 00:29:42
53044,[14],FIFA 17: Deluxe Edition,,,Electronic Arts,2025-08-22 00:29:42
53046,,Wildlife: Forest Survival,,,Electronic Arts,2025-08-22 00:29:42
58312,"[13, 14]",FIFA Soccer: Prime Stars,,,Electronic Arts,2025-08-22 00:29:42
64285,[14],FIFA Online 2,,,Electronic Arts,2025-08-22 00:29:42
64475,[35],Monopoly Millionaire,[28],,Electronic Arts,2025-08-22 00:29:42
66667,,Flips: Artemis Fowl,,,Electronic Arts,2025-08-22 00:29:42
66910,[14],FIFA Online,,,Electronic Arts,2025-08-22 00:29:42
67572,[13],Littlest Pet Shop: Beach Friends,[35],,Electronic Arts,2025-08-22 00:29:42
68040,"[31, 33]",Littlest Pet Shop: Spring,"[35, 40]",,Electronic Arts,2025-08-22 00:29:42
69585,[14],Michael Jordan in Flight,,,Electronic Arts,2025-08-22 00:29:42
70463,"[5, 13]",U.S. Navy Fighters - Marine Fighters,"[33, 39]",,Electronic Arts,2025-08-22 00:29:42
71681,[31],Escape From Hell,"[19, 27]",,Electronic Arts,2025-08-22 00:29:42
72891,[14],The Sims: Bowling,,,Electronic Arts,2025-08-22 00:29:42
73799,[12],Fountain of Dreams,,,Electronic Arts,2025-08-22 00:29:42
79594,[13],Stormovik: Soviet Attack Fighter SU-25,"[22, 39]",,Electronic Arts,2025-08-22 00:29:42
79890,"[5, 13]",U.S. Navy Fighters,"[33, 39]",,Electronic Arts,2025-08-22 00:29:42
79955,"[13, 14]",FIFA Soccer Manager,[32],,Electronic Arts,2025-08-22 00:29:42
80678,[14],FIFA Manager 07: Extra Time,,,Electronic Arts,2025-08-22 00:29:42
83752,[14],FIFA 18: Ronaldo Edition,,50.0,Electronic Arts,2025-08-22 00:29:42
83753,[14],FIFA 18: ICON Edition,,50.0,Electronic Arts,2025-08-22 00:29:42
84223,[5],Scarab,[1],,Electronic Arts,2025-08-22 00:29:42
87190,[11],Command & Conquer: Generals - Deluxe Edition,"[18, 39]",70.0,Electronic Arts,2025-08-22 00:29:42
91432,"[12, 13]",Littlest Pet Shop Online,[35],,Electronic Arts,2025-08-22 00:29:42
91768,[5],The Sims Carnival: Bumper Blast,[27],,Electronic Arts,2025-08-22 00:29:42
93902,"[13, 14]",EA Sports FC Online,[1],58.20224719101123,Electronic Arts,2025-08-22 00:29:42
95434,[24],Battleship,[1],,Electronic Arts,2025-08-22 00:29:42
